b've'
b'o\xc2\xb4na'
b'd\xc3\xb6nd\xc3\xbcr\xc3\xbcleceksiniz.'
b'varsa'
b'hepsini'
b'yaratt\xc4\xb1;'
b'g\xc3\xb6\xc4\x9fe'
b'yedi'
b'd\xc3\xbczenledi.'
b'her\xc5\x9feyi'
b'bilir.'
b'zamanlar'
b'rabbin'
b'meleklere:'
b'"ben'
b'demi\xc5\x9fti.'
b'melekler'
b':'
b'yapan'
b'kan'
b'mi'
b'seni'
b'\xc3\xb6verek'
b'tesbih'
b'ediyor'
b'dediler.'
b'ben'
b'dedi.'
b'\xc3\xa2dem\xc2\xb4e'
b't\xc3\xbcm\xc3\xbcn\xc3\xbc'
b'meleklere'
b'"haydi'
b'isimlerini'
b'bana'
b'dediler'
b'ki:'
b'"sen'
b'y\xc3\xbccesin'
b'rab'
b';'
b'bizim'
b'senin'
b'bize'
b'yoktur.'
b'sen'
b'\xc5\x9feyin'
b'i\xc3\xa7y\xc3\xbcz\xc3\xbcn\xc3\xbc'
b'bilen'
b'yerli'
b'yerince'
b'dedi'
b'"ey'
b'\xc3\xa2dem'
b'bunlara'
b'haber'
b'ver."'
b'verince'
b'g\xc3\xb6klerin'
b'yerin'
b'i\xc3\xa7inizde'
b'oldu\xc4\x9funuz'
b'\xc5\x9feyleri'
b'"\xc3\xa2dem\xc2\xb4e'
b'secde'
b'demi\xc5\x9ftik'
b'hemen'
b'ettiler:'
b'i\xcc\x87blis'
b'nank\xc3\xb6rlerden'
b'oldu.'
b'dedik'
b'e\xc5\x9fin'
b'cennette'
b'oturun'
b'diledi\xc4\x9finiz'
b'yerde'
b'bol'
b'yeyin'
b'ama'
b'\xc5\x9fu'
b'a\xc4\x9faca'
b'yakla\xc5\x9fmay\xc4\xb1n'
b'yoksa'
b'z\xc3\xa2limlerden'
b'derken'
b'\xc5\x9feyt\xc3\xa2n'
b'\xc4\xb1n'
b'oradan'
b'bulunduklar\xc4\xb1'
b'yurdu'
b'ndan'
b'd\xc3\xbc\xc5\x9fman'
b'kal\xc4\xb1p'
b's\xc3\xbcre'
b'rabbinden'
b'birtak\xc4\xb1m'
b'ald\xc4\xb1'
b'amel'
b'edip'
b'rabbine'
b'bunun'
b'\xc3\xbczerine'
b'tevbesini'
b'kabul'
b'etti.'
b'tevbeyi'
b'\xc3\xa7ok'
b'eden'
b'kulunun'
b'ge\xc3\xa7en'
b'dir'
b'esirgeyendir.'
b'"hepiniz'
b'"yaln\xc4\xb1z'
b'iyi'
b'benden'
b'geldi\xc4\x9fi'
b'zaman'
b'kimler'
b'benim'
b'uyarsa'
b'korku'
b'yoktur'
b'\xc3\xbcz\xc3\xbclmeyeceklerdir.'
b'"i\xcc\x87nk\xc3\xa2r'
b'\xc3\xa2yetlerimizi'
b'yalanlayanlar'
b'ise'
b'halk\xc4\xb1d\xc4\xb1r'
b'i\xcc\x87sr\xc3\xa2il'
b'o\xc4\x9fullar\xc4\xb1'
b'verdi\xc4\x9fim'
b'ni\xc2\xb4metleri'
b'hat\xc4\xb1rlay\xc4\xb1n'
b'verdi\xc4\x9finiz'
b'tutun'
b'korkun!'
b'yan\xc4\xb1n\xc4\xb1zda'
b'bulunan\xc4\xb1'
b'do\xc4\x9frulay\xc4\xb1c\xc4\xb1'
b'indirmi\xc5\x9f'
b'kur\xc2\xb4\xc3\xa2n'
b'inan\xc4\xb1n'
b'onu'
b'ilk'
b'ink\xc3\xa2r'
b'\xc3\xa2yetlerimi'
b'birka\xc3\xa7'
b'paraya'
b'ger\xc3\xa7e\xc4\x9fi'
b'b\xc3\xa2t\xc4\xb1lla'
b'hakk\xc4\xb1'
b'namaz\xc4\xb1'
b'k\xc4\xb1l\xc4\xb1n'
b'zek\xc3\xa2t\xc4\xb1'
b'verin'
b'r\xc3\xbck\xc3\xbb'
b'edenlerle'
b'huz\xc3\xbbrunda'
b'beraber'
b'kitab\xc4\xb1'
b'insanlara'
b'iyili\xc4\x9fi'
b'emredip'
b'kendinizi'
b'musunuz?'
b'akl\xc4\xb1n\xc4\xb1z\xc4\xb1'
b'kullanm\xc4\xb1yor'
b'dileyin'
b'sayg\xc4\xb1'
b'ba\xc5\x9fkas\xc4\xb1na'
b'a\xc4\x9f\xc4\xb1r'
b'gelir.'
b'sayg\xc4\xb1l\xc4\xb1'
b'insa'
b'nlar'
b'rablerine'
b'ger\xc3\xa7ekten'
b'ni\xc2\xb4meti'
b'\xc3\xa2lemlere'
b'\xc3\xbcst\xc3\xbcn'
b'hat\xc4\xb1rlay\xc4\xb1n.'
b'\xc3\xb6yle'
b'g\xc3\xbcnden'
b'sak\xc4\xb1n\xc4\xb1n'
b'g\xc3\xbcn'
b'kimse'
b'kimsenin'
b'cez\xc3\xa2s\xc4\xb1n\xc4\xb1'
b'borcunu'
b'kimseden'
b'\xc5\x9fef\xc3\xa2at'
b'fidye'
b'hi\xc3\xa7bir'
b'fir\xc2\xb4avn'
b'\xc3\xa2ilesinden'
b'kurtarm\xc4\xb1\xc5\x9ft\xc4\xb1k.'
b'hani'
b'az\xc3\xa2b\xc4\xb1n'
b'en'
b'k\xc3\xb6t\xc3\xbcs\xc3\xbcn\xc3\xbc'
b'g\xc3\xb6r\xc3\xbcyor'
b'o\xc4\x9fullar\xc4\xb1n\xc4\xb1z\xc4\xb1'
b'kad\xc4\xb1nlar\xc4\xb1n\xc4\xb1z\xc4\xb1'
b'sa\xc4\x9f'
b'bunda'
b'rabbinizden'
b'imtihan'
b'vard\xc4\xb1.'
b'denizi'
b'\xc3\xa2ilesini'
b'm\xc3\xbbs\xc3\xa2'
b'ile'
b'k\xc4\xb1rk'
b'gece'
b'ard\xc4\xb1ndan'
b'buza\xc4\x9f\xc4\xb1y\xc4\xb1'
b'tanr\xc4\xb1'
b'kendinize'
b'b\xc3\xb6ylece'
b'bundan'
b'belki'
b'diye'
b'm\xc3\xbbs\xc3\xa2\xc2\xb4ya'
b'kitap'
b'ger\xc3\xa7ekle'
b'b\xc3\xa2t\xc4\xb1l\xc4\xb1'
b'birbirinden'
b'\xc3\xb6l\xc3\xa7\xc3\xbc'
b'vermi\xc5\x9ftik.'
b'kavmine'
b'demi\xc5\x9fti'
b'kavmim'
b'sizler'
b'gelin'
b'tevbe'
b'kat\xc4\xb1nda'
b'iyidir.'
b'tevbenizi'
b'olur.'
b'\xc3\xa7\xc3\xbcnk\xc3\xbc'
b'ba\xc4\x9f\xc4\xb1\xc5\x9flay\xc4\xb1c\xc4\xb1'
b'merhametlidir.'
b'da:'
b'a\xc3\xa7\xc4\xb1k\xc3\xa7a'
b'demi\xc5\x9ftiniz'
b'derhal'
b'g\xc3\xbcr\xc3\xbclt\xc3\xbcs\xc3\xbc'
b'tekrar'
b'\xc3\xbcst\xc3\xbcn\xc3\xbcze'
b'\xc3\xa7ektik'
b'kudret'
b'b\xc4\xb1ld\xc4\xb1rc\xc4\xb1n'
b'"size'
b'g\xc3\xbczel'
b'r\xc4\xb1z\xc4\xb1klardan'
b'de\xc4\x9fil'
b'kendi'
b'zulmediyorlard\xc4\xb1.'
b'"\xc5\x9fu'
b'kente'
b'girin'
b'ederek'
b'kap\xc4\xb1dan'
b'affet'
b'deyin'
b'hat\xc3\xa2lar\xc4\xb1n\xc4\xb1z\xc4\xb1'
b'davrananlara'
b'fazlas\xc4\xb1n\xc4\xb1'
b'veririz.'
b'z\xc3\xa2limler'
b's\xc3\xb6zle'
b'yapt\xc4\xb1klar\xc4\xb1'
b'k\xc3\xb6t\xc3\xbcl\xc3\xbcklerden'
b'dolay\xc4\xb1'
b'zulmedenlerin'
b'indirdik.'
b'kavmi'
b'demi\xc5\x9ftik.'
b'on'
b'iki'
b'g\xc3\xb6ze'
b'b\xc3\xb6l\xc3\xbck'
b'"all\xc3\xa2h\xc2\xb4\xc4\xb1n'
b'r\xc4\xb1zk\xc4\xb1ndan'
b'yaparak'
b'yeme\xc4\x9fe'
b'du\xc2\xb4\xc3\xa2'
b'et'
b'olan\xc4\xb1'
b'a\xc5\x9fa\xc4\x9f\xc4\xb1'
b'de\xc4\x9fi\xc5\x9ftirmek'
b'istiyorsunuz?'
b'\xc5\x9fehre'
b'inin'
b'istedi\xc4\x9finiz'
b'al\xc3\xa7akl\xc4\xb1k'
b'yoksulluk'
b'damgas\xc4\xb1'
b'gazab\xc4\xb1na'
b'oldu'
b'\xc3\xa2yetlerini'
b'ediyorlar'
b'haks\xc4\xb1z'
b'yere'
b'peygamberleri'
b'\xc3\xb6ld\xc3\xbcr\xc3\xbcyorlard\xc4\xb1.'
b'dald\xc4\xb1klar\xc4\xb1'
b's\xc4\xb1n\xc4\xb1r\xc4\xb1'
b'hak'
b'ettiler.'
b'yah\xc3\xbbdiler'
b'h\xc4\xb1ristiyanlar'
b's\xc3\xa2biiler'
b'den'
b'inanan'
b'i\xc5\x9f'
b'rableri'
b'vard\xc4\xb1r;'
b'alm\xc4\xb1\xc5\x9f'
b'\xc3\xbczerinize'
b'kuvvetle'
b'az\xc3\xa2b\xc4\xb1m\xc4\xb1zdan'
b'olmasayd\xc4\xb1'
b'u\xc4\x9frayanlardan'
b'i\xcc\x87\xc3\xa7inizden'
b'cumartesi'
b'g\xc3\xbcn\xc3\xbc'
b'n\xc4\xb1'
b'maymunlar'
b'olun!"'
b'dedik.'
b'ibret'
b'az\xc3\xa2b\xc4\xb1ndan'
b'korunanlara'
b'\xc3\xb6\xc4\x9f\xc3\xbct'
b'yapt\xc4\xb1k.'
b'kavmine:'
b'inek'
b'olmaktan'
b'"bizim'
b'ikisinin'
b'emredileni'
b'dedi:'
b'parlak'
b'sevin\xc3\xa7'
b'\xc5\x9fey'
b'zira'
b'geldi.'
b'dilerse'
b'mutlaka'
b'yapma\xc4\x9fa'
b'\xc5\x9f\xc3\xb6yle'
b'hen\xc3\xbcz'
b'alt\xc4\xb1na'
b'ekin'
b'yok."'
b'"i\xcc\x87\xc5\x9fte'
b'\xc5\x9fimdi'
b'deyip'
b'az'
b'adam'
b'hakk\xc4\xb1nda'
b'birbirinizle'
b'ortaya'
b'\xc3\xb6l\xc3\xbcleri'
b'diriltir'
b'g\xc3\xb6sterir'
b'kalbleriniz'
b'ta\xc5\x9f'
b'var'
b'i\xc3\xa7inden'
b'\xc3\xb6ylesi'
b'kaynar'
b'korkusundan'
b'd\xc3\xbc\xc5\x9fer.'
b'yapt\xc4\xb1klar\xc4\xb1n\xc4\xb1z\xc4\xb1'
b'bilmez'
b'de\xc4\x9fildir.'
b'm\xc3\xbc\xc2\xb4minler'
b'bunlar\xc4\xb1n'
b'bunlardan'
b'grup'
b's\xc3\xb6z\xc3\xbcn\xc3\xbc'
b'd\xc3\xbc\xc5\x9f\xc3\xbcn\xc3\xbcp'
b'ak\xc4\xb1l'
b'i\xcc\x87nananlara'
b'"i\xcc\x87nand\xc4\xb1k"'
b'derler;'
b'birbirleriyle'
b's\xc3\xb6yl\xc3\xbcyorsunuz'
b'rabbiniz'
b'aleyhinizde'
b'delil'
b'musunuz?"'
b'gizlediklerini'
b'a\xc3\xa7\xc4\xb1\xc4\x9fa'
b'vurduklar\xc4\xb1n\xc4\xb1'
b'bilmezler'
b'bildikleri'
b'yahut'
b'\xc5\x9feyler'
b'vay'
b'haline'
b'elleriyle'
b'ellerinin'
b'kazand\xc4\xb1klar\xc4\xb1ndan'
b'd\xc4\xb1\xc5\x9f\xc4\xb1nda'
b'"allah\xc2\xb4tan'
b'hususta'
b'm\xc3\xbc'
b'\xc5\x9f\xc3\xa2yet'
b'verdi\xc4\x9fi'
b's\xc3\xb6zden'
b'bilmedi\xc4\x9finiz'
b's\xc3\xb6yl\xc3\xbcyorsunuz?'
b'evet'
b'kim'
b'g\xc3\xbcn\xc3\xa2h'
b'kazan\xc4\xb1r'
b'kendisini'
b'ku\xc5\x9fatm\xc4\xb1\xc5\x9f'
b'olursa'
b's\xc3\xbcrekli'
b'cennet'
b'o\xc4\x9fullar\xc4\xb1ndan'
b'yak\xc4\xb1nlara'
b'yetimlere'
b'yoksullara'
b'iyilik'
b'i\xcc\x87nsanlara'
b's\xc3\xb6yleyin'
b'verin!"'
b'pek'
b'hari\xc3\xa7'
b'h\xc3\xa2l\xc3\xa2'
b'y\xc3\xbcz'
b'\xc3\xa7evirip'
b'yurtlar\xc4\xb1n\xc4\xb1zdan'
b'kesin'
b'g\xc3\xb6re'
b'birbirinizi'
b'yurtlar\xc4\xb1ndan'
b'kar\xc5\x9f\xc4\xb1'
b'd\xc3\xbc\xc5\x9fmanl\xc4\xb1k'
b'yapmakta'
b'\xc3\xa7\xc4\xb1karmak'
b'esir'
b'geldiklerinde'
b'veriyor'
b'kitab\xc4\xb1n'
b'k\xc4\xb1sm\xc4\xb1n\xc4\xb1'
b'ediyorsunuz?'
b'cez\xc3\xa2s\xc4\xb1'
b'd\xc3\xbcny\xc3\xa2'
b'hay\xc3\xa2t\xc4\xb1nda'
b'rezil'
b'nedir?'
b'k\xc4\xb1y\xc3\xa2met'
b'g\xc3\xbcn\xc3\xbcnde'
b'\xc3\xa2hireti'
b'hay\xc3\xa2t\xc4\xb1n\xc4\xb1'
b'alan'
b'kimselerdir.'
b'onlardan'
b'edilmez.'
b'andolsun'
b'verdik'
b'arkas\xc4\xb1ndan'
b'peygamberler'
b'g\xc3\xb6nderdik.'
b'meryem'
b'o\xc4\x9flu'
b'\xc3\xaes\xc3\xa2\xc2\xb4ya'
b'a\xc3\xa7\xc4\xb1k'
b'deliller'
b'cebr\xc3\xa2il'
b'destekledik.'
b'peygamber'
b'istemedi\xc4\x9fi'
b'getirdiyse'
b'b\xc3\xbcy\xc3\xbckl\xc3\xbck'
b'm\xc4\xb1?'
b'kimini'
b'hay\xc4\xb1r'
b'ink\xc3\xa2rlar\xc4\xb1ndan'
b'inan\xc4\xb1rlar.'
b'kat\xc4\xb1ndan'
b'yanlar\xc4\xb1nda'
b'geldi'
b'isteyip'
b'dururlarken'
b'ettiler;'
b'la\xc2\xb4neti'
b'olsun!'
b'kullar\xc4\xb1ndan'
b'diledi\xc4\x9fine'
b'indirdi\xc4\x9fini'
b'etmek'
b'al\xc3\xa7ak'
b'\xc5\x9feye'
b'gazab'
b'\xc3\xbcst\xc3\xbcne'
b'al\xc3\xa7alt\xc4\xb1c\xc4\xb1'
b'indirdi\xc4\x9fine'
b'"bize'
b'derler'
b'\xc3\xb6tesini'
b'etmezler.'
b'ger\xc3\xa7ektir.'
b'neden'
b'"andolsun'
b'da\xc4\x9f\xc4\xb1n'
b'kald\xc4\xb1r\xc4\xb1p'
b'isy\xc3\xa2n'
b'kalblerine'
b'buza\xc4\x9f\xc4\xb1'
b'"e\xc4\x9fer'
b'kimseler'
b'k\xc3\xb6t\xc3\xbc'
b'\xc3\xb6l\xc3\xbcm\xc3\xbc'
b'temenni'
b'edin!"'
b'yap\xc4\xb1p'
b'\xc3\xb6ne'
b's\xc3\xbcrd\xc3\xbc\xc4\x9f\xc3\xbc'
b'i\xc5\x9flerden'
b'z\xc3\xa2limleri'
b'insanlar\xc4\xb1n'
b'hay\xc3\xa2ta'
b'ortak'
b'ko\xc5\x9fanlardan'
b'biri'
b'bin'
b'y\xc4\xb1l'
b'ister.'
b'az\xc3\xa2bdan'
b'yapt\xc4\xb1klar\xc4\xb1n\xc4\xb1'
b'izniyle'
b'kur\xc2\xb4\xc3\xa2n\xc2\xb4\xc4\xb1'
b'kendinden'
b'\xc3\xb6ncekini'
b'inananlara'
b'g\xc3\xb6sterici'
b'm\xc3\xbcjdeci'
b'kalbine'
b'indirdi\xc4\x9fi'
b'meleklerine'
b'el\xc3\xa7ilere'
b'bilsin'
b'edenlerin'
b'd\xc3\xbc\xc5\x9fman\xc4\xb1d\xc4\xb1r.'
b'apa\xc3\xa7\xc4\xb1k'
b'\xc3\xa2yetler'
b'indirdik'
b'yoldan'
b'ba\xc5\x9fkas\xc4\xb1'
b'etmez.'
b'andla\xc5\x9fma'
b'ahdi'
b'zaten'
b'\xc3\xa7oklar\xc4\xb1'
b'taraf\xc4\xb1ndan'
b'el\xc3\xa7i'
b'verilmi\xc5\x9f'
b'olanlardan'
b'kitab\xc4\xb1n\xc4\xb1'
b'sanki'
b's\xc4\xb1rtlar\xc4\xb1n\xc4\xb1n'
b'arkas\xc4\xb1na'
b's\xc3\xbcleym\xc3\xa2n\xc2\xb4\xc4\xb1n'
b'\xc5\x9feyt\xc3\xa2nlar\xc4\xb1n'
b'uydurduklar\xc4\xb1'
b'b\xc3\xbcy\xc3\xbc'
b's\xc3\xb6yleyen'
b'uyup'
b'b\xc3\xbcy\xc3\xbcc\xc3\xbc'
b'oldu\xc4\x9funa'
b'inand\xc4\xb1lar'
b's\xc3\xbcleym\xc3\xa2n'
b'k\xc3\xbcfre'
b'\xc5\x9feyt\xc3\xa2nlar'
b'indirileni'
b'onlar:'
b'sak\xc4\xb1n'
b'!"'
b'kimseye'
b'bunlar'
b'aras\xc4\xb1n\xc4\xb1'
b'a\xc3\xa7acak'
b'izni'
b'olmadan'
b'zarar'
b'veremezler.'
b'yarar'
b'\xc4\xb1p'
b'\xc3\xa7\xc4\xb1kar'
b'an\xc4\xb1n'
b'\xc3\xa2hirette'
b'olmad\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1'
b'g\xc3\xa2yet'
b'k\xc3\xb6t\xc3\xbcd\xc3\xbcr'
b'ke\xc5\x9fke'
b'bilselerdi!'
b'olsalard\xc4\xb1'
b'verilecek'
b'sev\xc3\xa2p'
b'kendileri'
b'hay\xc4\xb1rl\xc4\xb1'
b'olurdu.'
b'inananlar'
b'g\xc3\xb6zet'
b'yahut:'
b'kaba'
b'bak'
b'k\xc3\xa2firler'
b'nank\xc3\xb6r'
b'baz\xc4\xb1'
b'ehli'
b'm\xc3\xbc\xc5\x9frikler'
b'istemezler.'
b'rahmetini'
b'lutuf'
b'\xc3\xa2yeti'
b'siler'
b'veya'
b'iyisini'
b'benzerini'
b'getiririz.'
b'yeter'
b'bilmedin'
b'mi?'
b'm\xc3\xbclk\xc3\xbc'
b'h\xc3\xbck\xc3\xbcmranl\xc4\xb1\xc4\x9f\xc4\xb1'
b'y\xc3\xb6netimi'
b'all\xc3\xa2h\xc2\xb4\xc4\xb1nd\xc4\xb1r.'
b'koruyucu'
b'm\xc3\xbbs\xc3\xa2\xc2\xb4dan'
b'tak\xc4\xb1m'
b'iman\xc4\xb1'
b'k\xc3\xbcf\xc3\xbcrle'
b'de\xc4\x9fi\xc5\x9ftirirse'
b'd\xc3\xbcmd\xc3\xbcz'
b's\xc3\xa2hiplerinden'
b'\xc3\xa7o\xc4\x9fu'
b'olduktan'
b's\xc4\xb1rf'
b'isterler.'
b'emrini'
b'kadar'
b'ho\xc5\x9f'
b'yetendir.'
b'verin;'
b'kendiniz'
b'hayr\xc4\xb1'
b'yan\xc4\xb1nda'
b'g\xc3\xb6r\xc3\xbcr.'
b'h\xc4\xb1ristiyan'
b'olandan'
b'cennete'
b'"do\xc4\x9fru'
b'delilinizi'
b'getirin."'
b'i\xc5\x9fini'
b'\xc3\xb6z\xc3\xbcn\xc3\xbc'
b'teslim'
b'ederse'
b'm\xc3\xbck\xc3\xa2f\xc3\xa2t\xc4\xb1'
b'rabbinin'
b'yan\xc4\xb1ndad\xc4\xb1r.'
b'\xc3\xbczerinde'
b'hepsi'
b'bilmeyenler'
b'demi\xc5\x9flerdi.'
b'ayr\xc4\xb1l\xc4\xb1\xc4\x9fa'
b'd\xc3\xbc\xc5\x9ft\xc3\xbckleri'
b'aralar\xc4\xb1nda'
b'h\xc3\xbck\xc3\xbcm'
b'verecektir.'
b'engel'
b'z\xc3\xa2lim'
b'korka'
b't\xc3\xbcrl\xc3\xbc'
b'girme\xc4\x9fe'
b'haklar\xc4\xb1'
b'rezillik'
b'do\xc4\x9fu'
b'bat\xc4\xb1'
b'nereye'
b'd\xc3\xb6nerseniz'
b'y\xc3\xbcz\xc3\xbc'
b'all\xc3\xa2h\xc2\xb4'
b'rahmeti'
b'bilendir.'
b'\xc3\xa7ocuk'
b'h\xc3\xa2\xc5\x9f\xc3\xa2'
b'y\xc3\xbccedir.'
b'g\xc3\xb6klerde'
b'o\xc2\xb4nundur'
b'boyun'
